漢方薬名,説明文,気虚,血虚,瘀血,陰虚,痰湿,気滞,寒証,熱証,水毒,禁忌
補中益気湯,疲労倦怠・元気が出ない体質に,5,1,0,0,1,0,2,0,1,妊娠中
加味逍遥散,ストレスによる体調不良・婦人科系に,2,5,3,0,1,4,1,1,1,
桂枝茯苓丸,瘀血体質の月経不順や肩こりに,0,2,5,0,0,2,1,1,0,妊娠中
小建中湯,冷えや疲労を伴う小児・虚弱者に,5,0,1,0,2,0,5,0,1,
当帰芍薬散,血虚・水毒体質で冷え性・むくみに,2,5,2,0,1,1,3,0,5,
半夏厚朴湯,ストレス・喉のつかえ・不安感に,2,0,1,0,2,5,1,1,3,
六君子湯,消化器虚弱・胃もたれ・食欲不振に,5,1,0,0,3,1,2,0,2,
柴胡加竜骨牡蛎湯,ストレス過多・神経過敏・不眠に,3,2,2,0,2,5,0,2,1,高血圧
四物湯,血虚体質の基本薬・肌や髪の栄養補給に,0,5,2,0,0,1,1,0,0,
防風通聖散,肥満・高血圧・便秘を伴う水毒・瘀血に,2,2,4,0,2,2,0,3,5,高血圧
十全大補湯,気血両虚体質の回復・免疫低下に,5,5,2,0,1,0,2,0,2,
牛車腎気丸,腎虚によるむくみ・腰痛・夜間頻尿に,2,2,2,1,1,0,5,0,1,
真武湯,寒証・水毒によるむくみ・下痢・冷えに,3,1,1,0,1,0,5,0,2,
五苓散,急性のむくみ・下痢・めまいに,1,0,0,0,2,0,3,0,5,
苓桂朮甘湯,めまい・動悸・不安感に,1,0,0,0,2,2,2,0,5,
黄連解毒湯,熱証・イライラ・不眠・高血圧傾向に,0,0,3,0,0,2,0,5,0,高血圧
抑肝散,神経過敏・怒りっぽさ・不眠に,2,2,2,0,1,5,1,1,1,
芍薬甘草湯,筋肉の痙攣・こむら返りに,1,5,1,0,0,0,1,0,0,
葛根湯,初期の風邪・肩こりに,0,0,0,0,0,1,2,2,0,
麦門冬湯,乾いた咳・のどの渇きに,2,0,0,5,1,0,0,1,1,
麻黄湯,寒気を伴う発熱・関節痛に,0,0,1,0,0,0,5,2,0,
小青竜湯,水毒によるアレルギー性鼻炎・咳に,1,0,1,0,0,1,2,0,5,
八味地黄丸,腎虚による腰痛・頻尿・冷えに,2,2,0,1,1,0,5,0,1,
清心蓮子飲,心身疲労・排尿トラブルに,2,2,0,0,1,1,2,0,1,
桂枝加竜骨牡蛎湯,精神不安・動悸・不眠に,2,2,2,0,0,3,1,0,0,
半夏瀉心湯,胃腸虚弱・吐き気・下痢に,2,2,1,0,2,0,0,0,1,
小柴胡湯,慢性肝炎・疲労感・微熱に,3,2,1,0,0,2,0,2,1,
六味丸,腴虚・疲労倦怠・加齢による諸症状に,2,2,2,1,0,0,5,0,0,
温経湯,冷え・婦人科系異常に,2,3,1,0,0,1,5,0,0,
補陰湯,陰虚・口渇・乾燥に,3,2,2,5,1,0,0,0,0,
柴胡桂枝湯,寒熱錯雑の風邪・胃腸障害に,2,2,1,1,0,2,0,1,0,
竹茹温胆湯,ストレスによる胃もたれ・吐き気に,2,2,1,0,2,3,0,0,1,
女神散,女性特有の自律神経失調症状に,2,3,2,0,2,2,0,0,1,
四君子湯,胃腸虚弱・食欲不振に,5,1,0,0,2,0,2,0,0,
防己黄耆湯,水毒・肥満体質に,3,2,2,0,0,1,1,0,5,
柴苓湯,ストレスと水毒によるむくみに,2,2,1,0,0,2,1,0,5,
参蘇飲,風邪後の胃腸機能低下に,2,2,2,0,0,1,2,0,2,
五積散,冷え・ストレス・気滞・気血水の滞りに,2,2,2,0,0,5,2,0,3,
大柴胡湯,強いストレス・便秘・肥満傾向に,2,2,5,0,2,5,0,2,2,
四逆散,ストレス・気滞による内熱に,2,2,2,0,0,5,0,1,1,
治打撲一方,打撲・捻挫・内出血に,2,1,5,0,0,0,1,0,0,
大建中湯,強い冷えと腹痛・腸の動き低下に,2,2,2,5,0,0,5,0,0,
人参養栄湯,極度の気血両虚・虚弱体質に,5,5,2,0,1,0,2,0,0,
加味帰脾湯,精神疲労・不眠・貧血傾向に,3,5,1,0,0,2,2,0,0,
参苓白朮散,気虚による疲労・消化不良に,5,5,2,0,2,0,2,0,5
